51200,524288,524288,0,1
51200,524288,524288,1,0
51200,1048576,1048576,0,1
51200,1048576,1048576,1,0
51200,2097152,2097152,0,1
51200,2097152,2097152,1,0
51200,4194304,4194304,0,1
51200,4194304,4194304,1,0
51200,8388608,8388608,0,1
51200,8388608,8388608,1,0
51200,16777216,16777216,0,1
51200,16777216,16777216,1,0
51200,33554432,33554432,0,1
51200,33554432,33554432,1,0
51200,67108864,67108864,0,1
51200,67108864,67108864,1,0 
51200,134217728,134217728,0,1
51200,134217728,134217728,1,0 
51200,268435456,268435456,0,1
51200,268435456,268435456,1,0 
51200,536870912,536870912,0,1
51200,536870912,536870912,1,0
